,Con,Sus,Res
1,76.30973,44.74942,92.26998
2,124.3732,65.50968,58.22349
3,116.4044,58.40964,98.37781
4,109.083,42.688,96.88507
5,72.67641,36.61544,89.84742
6,101.1533,26.20278,113.317
